Chapter_Name,Category,Question_Text,Answer_or_Hint,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,"From the following Trial Balance of M/S Mitesh and Mangesh, you are required to prepare Trading and Profit and Loss Account for the year ended 31st  March, 2019 and Balance Sheet as on that date.","Ans : G.P. ?.99,000, N.P. ?. 63,684 Balance Sheet Total ?. 3,30,364",,
,,"Trial Balance as on 31st March, 2019",,,
,,Debit Balance,Amount ?.,Credit Balance,Amount ?.
,,Stock as on (1/4/2018) ,"25,000",Sundry Creditors ,"38,000"
,,Building ,"48,500",Sales ,"175,000"
,,Carriage ,"1,780",Capital : ,
,,Factory Insurance ,"2,700", Mitesh ,"150,000"
,,Postage ,"1,600", Mangesh ,"50,000"
,,Bills Receivable ,"13,700",Outstanding Salaries ,"2,000"
,,Sundry Debtors,"52,200",Bills Payable,"18,000"
,,Return Inward,"1,600",Return outword,"1,800"
,,Purchases,"68,900",Current A/c :,
,,Audit Fees,"1,800", Mitesh,"3,000"
,,Loose tools,"32,000", Mangesh,"2,000"
,,Manufacturing Expenses ,"1,820",,
,,Electricity Charges,"2,600",,
,,General Expenses,"3,400",,
,,Export duty,"1,000",,
,,Cash in hand,"75,000",,
,,Bank Balance,"29,000",,
,,Conveyance,"4,100",,
,,Furniture,"64,000",,
,,Salaries,"2,000",,
,,"Rent, Rate & Taxes ","3,700",,
,,Drawings :,,,
,,Mitesh,"1,200",,
,, Mangesh,"2,200",,
,,,"439,800",,"439,800"
,,Adjustments :,,,
,,1. Mitesh and Mangesh are sharing Profit and losses in the ratio 3:1.,,,
,,2. Partners are entitled to get Commission @ 1% each on Gross Profit.,,,
,,"3. The closing stock is valued at ?. 23,700.",,,
,,4. Outstanding Expenses - Audit ?ees ?. 400; carriage ?. 600.,,,
,,"5. Building is valued at ?. 46,500.",,,
,,6. ?urniture is depreciated by 5%.,,,
,,7. Provide Interest on Partner's capital at 2.5% pa.,,,
,,8. Goods of ?. 900 were taken by Mangesh for his personal use.,,,
,,"9. Write off ?. 1,000 as Bad Debts and maintain R.D.D at 3% on Sundry Debtors.",,,
Chapter 1 : Partnership ?inal Accounts,Exercise_Problems,"From the following Trial Balance and adjustments given below of Reena and Aarti, you are required to prepare Trading and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date.","(Ans : G.P. ?. 23,900, N.P. ?. 13,592    Balance Sheet Total ?. 1,16,507)",,
,,"Trial Balance as on 31st March, 2019",,,
,,Debit Balance,Amount ?.,Credit Balance,Amount ?.
,,Purchases ,"35,500",Sales,"58,200"
,,Sundry Debtors,"40,000",Sundry Creditors ,"25,700"
,,Sales Returns,"1,000",Purchases Returns ,500
,,Opening Stock ,"18,100",R.D.D,800
,,Bad debts,500,Discount ,50
,,Land & Building,"25,000",Commission,250
