Chapter_Name,Category,Question_Text,Answer_or_Hint
Chapter 1 : Partnership Final Accounts,Extra_Practical,"From the following Trial Balance of M/s. Ram and Shyam you are require to prepare Trading and Profit and Loss Account for the year ended 31st March, 2019 and Balance Sheet as on that date.",
,,"Trial balance as on 31st March, 2020",
,,Particulars | Debit ₹ | Credit ₹,
,,Purchases and Sales | 93400 | 170000,
,,Sundry Debtors and Creditors | 56000 | 50000,
,,Bills Receivable and Payable | 10000 | 12000,
,,Commission |  | 3600,
,,Wages | 9200 | ,
,,Salaries | 7200 | ,
,,Plant and Machinery | 21000 | ,
,,Furniture | 81400 | ,
,,Cash in Hand | 36000 | ,
,,Carriage | 19800 | ,
,,Bad Debts | 2400 | ,
,,Prepaid Rent | 5000 | ,
,,Capital Account: Ram |  | 120000,
,,Capital Account: Shyam |  | 70000,
,,Adjustment: ,
,,"1. The closing stock is valued at ₹. 72,000.",
,,"2. Outstanding expenses were: Wages ₹. 2,800, Salaries ₹. 1,600.",
,,3. Depreciate Plant and Machinery  by 20% ,
,,4. Insurance of ₹. 100 is paid in advance.,
,,"5. Provide for further Bad debts of ₹. 3,000.",
,,"6. Commission due but not received ₹. 2,400.",
Chapter 1 : Partnership Final Accounts,Extra_Practical,"""From the Trial Balance of M/s. Virat and Dhoni, you are required to prepare Trading and Profit and Loss account for the year ended 31st March, 2024 and Balance Sheet as on that date. They share profit and losses in their capital ratio.",
,,Particulars | Debit ₹ | Credit ₹,
,,Opening Stock | 14000 | ,
,,Purchases and Sales | 58200 | 106000,
,,Trade Expenses | 1200 | ,
,,Royalties | 3100 | ,
,,Sundry Debtors and Creditors | 30000 | 27000,
,,Bills Receivable and Payable | 8000 | 18000,
,,Reserve for Doubtful Debts  |  | 900,
,,Wages & Salaries | 7400 | ,
,,Advertisement  | 4100 | ,
,,Salaries | 5500 | ,
,,Plant & Machinery | 22000 | ,
,,Free Hold Property  | 18000 | ,
,,Office Rent | 2000 | ,
,,Motor Van | 31500 | ,
